,2024-03-15,2024-03-16,2024-03-17,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-03-30,2024-03-31,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14
01:00,551.7,568.32,589.99,595.36,641.97,658.67,713.51,773.68,729.05,787.54,848.49,993.44,1014.96,858.96,698.69,749.32,765.67,1035.02,1260.0,1245.77,836.12,503.36,700.74,830.4,1010.43,967.38,1005.79,1020.02,1020.02,1056.17
02:00,551.7,568.32,568.49,574.36,630.77,658.67,708.51,718.87,729.05,758.54,838.49,988.44,981.55,823.46,698.69,699.2,765.67,1025.14,1245.0,1150.77,759.37,502.36,671.24,750.51,905.54,967.38,1005.79,1010.02,1008.02,1055.62
03:00,551.7,568.32,568.49,574.36,571.77,641.79,696.51,718.87,717.16,719.54,838.49,858.44,863.83,823.46,698.69,689.2,765.67,1025.14,1050.0,1141.36,502.12,501.36,610.74,750.51,905.54,504.97,1005.79,1010.02,995.02,1055.62
04:00,497.36,566.12,568.49,574.36,550.77,641.79,696.51,718.87,716.96,719.54,838.49,858.44,863.83,823.46,698.69,689.2,765.67,1025.14,1050.0,1016.77,502.12,501.36,605.74,750.51,905.54,504.97,1005.79,1010.02,995.02,1055.62
05:00,551.7,566.12,568.49,574.36,550.77,641.79,708.51,718.87,700.96,658.54,802.86,858.44,863.83,823.46,698.69,689.2,765.67,1025.14,1056.62,1141.36,759.37,501.36,605.74,750.51,905.54,966.97,1005.79,1010.02,995.02,1010.12
06:00,551.7,568.32,568.49,595.36,628.77,658.67,671.51,718.87,558.89,658.54,787.49,858.44,863.83,823.46,698.69,689.2,765.67,1035.02,1245.0,1004.56,840.12,501.36,605.74,800.4,905.54,966.97,1005.79,1010.02,995.02,1010.12
07:00,551.7,568.32,568.49,598.36,628.77,658.67,671.51,464.95,517.22,658.54,798.49,858.44,858.83,787.46,698.69,689.2,765.67,1025.14,1245.0,709.42,840.12,501.36,490.74,830.4,905.54,967.38,1005.79,1010.02,995.02,1010.12
08:00,569.0,568.32,568.49,598.36,628.77,641.79,671.51,638.68,528.23,658.54,798.49,858.44,598.83,787.46,698.69,689.2,785.67,1025.14,1245.0,965.77,840.12,502.36,490.74,830.4,905.54,967.38,1005.79,1010.02,995.02,1005.12
09:00,571.7,568.32,568.49,608.36,630.77,641.79,671.51,718.87,528.23,658.54,838.49,858.44,598.83,688.89,698.69,689.2,785.67,1035.02,1260.0,965.77,966.12,502.36,481.05,830.4,905.54,751.97,1005.79,1010.02,995.02,1003.91
10:00,551.7,568.32,568.49,625.36,628.77,641.79,696.51,638.68,558.89,658.54,838.49,858.44,548.83,648.4,698.69,689.2,785.67,1025.14,1260.0,1004.56,1004.91,503.36,490.74,830.4,965.84,967.38,1005.79,1010.02,995.02,1010.12
11:00,551.7,568.32,568.49,625.36,630.77,641.79,713.51,718.87,567.74,718.54,838.49,858.44,598.83,688.89,748.69,689.2,785.67,1021.62,1260.0,1004.56,1006.12,503.36,605.74,890.4,1011.43,1006.97,1005.79,1020.02,995.02,1010.12
